code,name,lat,lng,iso_country,iso_region,municipality
APX,Arapongas Airport,-23.3529,-51.491699,BR,BR-PR,Arapongas
APY,Alto ParnaÃ_ba Airport,-9.083610535,-45.95055771,BR,BR-MA,Alto ParnaÃ_ba
APZ,Zapala Airport,-38.975498,-70.113602,AR,AR-Q,Zapala
AQA,Araraquara Airport,-21.81200027,-48.13299942,BR,BR-SP,Araraquara
AQB,Santa Cruz del Quiche Airport,15.01220036,-91.15059662,GT,GT-QC,Santa Cruz del Quiche
AQG,Anqing Tianzhushan Airport,30.582199,117.050003,CN,CN-34,Anqing
AQI,Al Qaisumah/Hafr Al Batin Airport,28.335199,46.125099,SA,SA-04,Qaisumah
AQJ,Aqaba King Hussein International Airport,29.61160088,35.01810074,JO,JO-AQ,Aqaba
AQM,Nova Vida Airport,-10.17805576,-62.82555771,BR,BR-RO,Ariquemes
AQP,RodrÃ_guez BallÃ_n International Airport,-16.34110069,-71.58309937,PE,PE-ARE,Arequipa
AQS,Biaugunu Airport,-16.44937993,179.7401047,FJ,FJ-N,"Saqani, Cakaudrove"
AQY,Girdwood Airport,60.966099,-149.126007,US,US-AK,Girdwood
ARA,Acadiana Regional Airport,30.0378,-91.883904,US,US-LA,New Iberia
ARB,Ann Arbor Municipal Airport,42.22299957,-83.74559784,US,US-MI,Ann Arbor
ARC,Arctic Village Airport,68.1147,-145.578995,US,US-AK,Arctic Village
ARD,Mali Airport,-8.132340431,124.5970001,ID,ID-NT,Alor Island
ARE,Antonio Nery Juarbe Pol Airport,18.45000076,-66.6753006,PR,PR-U-A,Arecibo
ARF,Acaricuara Airport,0.533333,-70.133333,CO,CO-VAU,Acaricuara
ARG,Walnut Ridge Regional Airport,36.124667,-90.925111,US,US-AR,Walnut Ridge
ARH,Talagi Airport,64.60030365,40.71670151,RU,RU-ARK,Archangelsk
ARI,Chacalluta Airport,-18.348499,-70.338699,CL,CL-AP,Arica
ARJ,Arso Airport,-2.93333292,140.7833405,ID,ID-PA,Arso-Papua Island
ARK,Arusha Airport,-3.367789984,36.63330078,TZ,TZ-01,Arusha
ARL,Arly Airport,11.59700012,1.48300004,BF,BF-TAP,Arly
ARM,Armidale Airport,-30.52809906,151.6170044,AU,AU-NSW,Armidale
ARN,Stockholm-Arlanda Airport,59.65190125,17.91860008,SE,SE-AB,Stockholm
ARO,Arboletes Airport,8.85705,-76.4244,CO,CO-ANT,Arboletes
ARP,Aragip Airport,-9.883333333,149.4833333,PG,PG-MBA,
ARQ,El Troncal Airport,7.02106,-71.388901,CO,CO-ARA,Arauquita
ARR,D. Casimiro Szlapelis Airport,-45.013599,-70.812202,AR,AR-U,Alto Rio Senguerr
ARS,AragarÃ§as Airport,-15.8994,-52.2411,BR,BR-GO,AragarÃ§as
ART,Watertown International Airport,43.9919014,-76.021698,US,US-NY,Watertown
ARU,AraÃ§atuba Airport,-21.1413002,-50.42470169,BR,BR-SP,AraÃ§atuba
ARV,Lakeland-Noble F. Lee Memorial field,45.92789841,-89.73090363,US,US-WI,Minocqua-Woodruff
ARW,Arad International Airport,46.17660141,21.26199913,RO,RO-AR,Arad
ARX,Asbury Park Neptune Air Terminal,40.21930556,-74.09083333,US,US-NJ,Asbury Park
ARY,Ararat Airport,-37.30939865,142.9889984,AU,AU-VIC,
ARZ,N'zeto Airport,-7.259439945,12.86310005,AO,AO-ZAI,N'zeto
ASA,Assab International Airport,13.07180023,42.64500046,ER,ER-DK,Asab
ASB,Ashgabat Airport,37.98680115,58.36100006,TM,TM-A,Ashgabat
ASC,AscenciÃ_n De Guarayos Airport,-15.93029976,-63.15670013,BO,BO-S,AscensiÃ_n de Guarayos
ASD,Andros Town Airport,24.69790077,-77.79560089,BS,BS-NB,
ASE,Aspen-Pitkin Co/Sardy Field,39.22320175,-106.8690033,US,US-CO,Aspen
ASF,Astrakhan Airport,46.28329849,48.00630188,RU,RU-AST,Astrakhan
ASG,Ashburton Aerodrome,-43.90330124,171.7969971,NZ,NZ-CAN,
ASH,Boire Field,42.78170013,-71.51480103,US,US-NH,Nashua
ASI,RAF Ascension Island,-7.9696,-14.3937,SH,SH-AC,Ascension Island
ASJ,Amami Airport,28.43059921,129.7129974,JP,JP-46,Amami
ASK,Yamoussoukro Airport,6.903170109,-5.365580082,CI,CI-07,Yamoussoukro
ASL,Harrison County Airport,32.52050018,-94.30780029,US,US-TX,Marshall
ASM,Asmara International Airport,15.29189968,38.91070175,ER,ER-SK,Asmara
ASN,Talladega Municipal Airport,33.56990051,-86.05090332,US,US-AL,Talladega
ASO,Asosa Airport,10.01850033,34.5862999,ET,ET-BE,Asosa
ASP,Alice Springs Airport,-23.80669975,133.9019928,AU,AU-NT,Alice Springs
ASQ,Austin Airport,39.4679985,-117.1949997,US,US-NV,Austin
ASR,Kayseri Erkilet Airport,38.770401,35.49539948,TR,TR-38,Kayseri
ASS,Arathusa Safari Lodge Airport,-24.744165,31.522499,ZA,ZA-NP,Arathusa
AST,Astoria Regional Airport,46.15800095,-123.8789978,US,US-OR,Astoria
ASU,Silvio Pettirossi International Airport,-25.23999977,-57.52000046,PY,PY-11,AsunciÃ_n
ASV,Amboseli Airport,-2.645050049,37.25310135,KE,KE-700,Amboseli National Park
ASW,Aswan International Airport,23.96439934,32.81999969,EG,EG-ASN,Aswan
ASX,John F Kennedy Memorial Airport,46.54850006,-90.91899872,US,US-WI,Ashland
ASY,Ashley Municipal Airport,46.02389908,-99.3526001,US,US-ND,Ashley
ASZ,Asirim Airport,-6.009722222,150.3686111,PG,PG-WBK,
ATA,Comandante FAP German Arias Graziani Airport,-9.347439766,-77.5983963,PE,PE-ANC,Anta
ATB,Atbara Airport,17.71034431,34.05701828,SD,SD-04,Atbara
ATC,Arthur's Town Airport,24.6294,-75.673797,BS,BS-CI,Arthur's Town
ATD,Uru Harbour Airport,-8.87333,161.011002,SB,SB-ML,Atoifi
